Industry	Money_Raise
Retired	3268619 
Securities & Investment	1866215 
Lawyers/Law Firms	1311555 
Real Estate	1243950 
Misc Finance	694910 
Business Services	574334 
Misc Business	356225 
Commercial Banks	348638 
Health Professionals	307543 
Lobbyists	295200 
Oil & Gas	272950 
Education	270448 
General Contractors	253350 
Insurance	225365 
Electronics Mfg & Equip	197415 
Food & Beverage	166000 
Hospitals/Nursing Homes	159100 
Construction Services	150400 
Retail Sales	147670 
Misc Manufacturing & Distributing	143915 
