Industry	Money_Raise
Retired	4296990 
Health Professionals	488877 
Republican/Conservative	269936 
Misc Business	261241 
Real Estate	247428 
Misc Finance	152169 
Misc Issues	151935 
Securities & Investment	140266 
Insurance	119292 
Crop Production & Basic Processing	105787 
Hospitals/Nursing Homes	98594 
Lawyers/Law Firms	97786 
Education	83914 
Business Services	65875 
General Contractors	57081 
Electronics Mfg & Equip	56547 
Oil & Gas	54334 
Livestock	54165 
Food & Beverage	52097 
Civil Servants/Public Officials	49395 
