Industry	Money_Raise
Lawyers/Law Firms	7100162 
Retired	6939682 
Business Services	2285970 
Securities & Investment	2044471 
Education	1955846 
Real Estate	1861815 
TV/Movies/Music	1473030 
Health Professionals	1454394 
Women's Issues	1398147 
Civil Servants/Public Officials	1032930 
Misc Business	959311 
Electronics Mfg & Equip	896832 
Printing & Publishing	895393 
Misc Finance	866767 
Lobbyists	590537 
Hospitals/Nursing Homes	533954 
Other	512282 
Non-Profit Institutions	487106 
Commercial Banks	443519 
Internet	358286 
