Industry	Money_Raise
Retired	3066552 
Lawyers/Law Firms	644659 
Health Professionals	612653 
Misc Business	609164 
Securities & Investment	510805 
Republican/Conservative	499774 
Oil & Gas	499243 
Real Estate	492005 
Misc Finance	368613 
Business Services	297507 
Misc Manufacturing & Distributing	250254 
General Contractors	174409 
Mining	149045 
Commercial Banks	144923 
Insurance	135564 
Construction Services	131721 
Automotive	123435 
Civil Servants/Public Officials	119539 
Livestock	118671 
Accountants	111307 
