Industry	Money_Raise
Retired	2153336 
Real Estate	666524 
Lawyers/Law Firms	561185 
Securities & Investment	514391 
Misc Finance	347398 
Health Professionals	317948 
Misc Business	278933 
Business Services	265063 
Misc Manufacturing & Distributing	133170 
Lobbyists	123525 
Electronics Mfg & Equip	122442 
Education	100225 
Hospitals/Nursing Homes	96162 
Oil & Gas	95855 
Republican/Conservative	92422 
Insurance	90462 
Crop Production & Basic Processing	86710 
Food & Beverage	82451 
Automotive	78235 
Special Trade Contractors	76882 
