Industry	Money_Raise
Retired	864161 
Education	404375 
Health Professionals	232564 
Lawyers/Law Firms	230233 
Misc Business	213778 
Democratic/Liberal	213167 
Electronics Mfg & Equip	173204 
Business Services	153063 
TV/Movies/Music	148884 
Civil Servants/Public Officials	146215 
Other	123522 
Printing & Publishing	117651 
Real Estate	97759 
Hospitals/Nursing Homes	96689 
Internet	96279 
Women's Issues	62876 
Misc Finance	55732 
Securities & Investment	47187 
Misc Services	41155 
Construction Services	39597 
