Industry	Money_Raise
Retired	259989 
Health Professionals	45942 
Misc Business	38153 
Real Estate	28814 
Misc Finance	16972 
Hospitals/Nursing Homes	11585 
Lawyers/Law Firms	10338 
Education	9550 
Securities & Investment	9355 
Business Services	8923 
Automotive	8147 
Insurance	8010 
Other	7808 
Oil & Gas	7763 
Civil Servants/Public Officials	7683 
Misc Manufacturing & Distributing	7076 
Crop Production & Basic Processing	6953 
Chemical & Related Manufacturing	6028 
Electronics Mfg & Equip	5635 
General Contractors	5509 
