source,date,sample,MoE,Clinton,Sanders,O'Malley,Spread
CNN/ORC,12/1/2015,403 RV,5,58,30,2,Clinton +28
CNN/ORC,10/17/2015,291 RV,5,45,29,0,Clinton +16
CNN/ORC,9/19/2015,392 RV,5,42,24,1,Clinton +18
CNN/ORC,9/8/2015,395 RV,5,37,27,3,Clinton +10
CNN/ORC,8/16/2015,358 RV,5,47,29,2,Clinton +18
CNN/ORC,7/25/2015,392 RV,5,56,19,0,Clinton +37
CNN/ORC,6/28/2015,428 RV,4.5,58,15,1,Clinton +41
CNN/ORC,5/31/2015,433 A,4.5,60,10,1,Clinton +46
CNN/ORC,4/19/2015,458 A,4.5,69,5,1,Clinton +58
CNN/ORC,3/15/2015,466 A,4.5,62,3,1,Clinton +47
CNN/ORC,2/15/2015,RV,5,60,3,1,Clinton +45
CNN/ORC,12/21/2014,469 A,4.5,66,3,1,Clinton +57
CNN/ORC,11/23/2014,457 A,4.5,65,5,0,Clinton +55
CNN/ORC,7/20/2014,449 A,4.5,67,--,2,Clinton +57
CNN/ORC,3/9/2014,372 A,5,64,--,4,Clinton +51
FOX News,11/19/2015,366 RV,5,55,32,3,Clinton +23
FOX News,11/3/2015,505 RV,4,56,31,2,Clinton +25
FOX News,10/12/2015,353 RV,5,45,25,1,Clinton +20
FOX News,9/22/2015,381 LV,5,44,30,2,Clinton +14
FOX News,8/13/2015,401 LV,4.5,49,30,1,Clinton +19
FOX News,8/2/2015,499 LV,4,51,22,1,Clinton +29
FOX News,7/15/2015,382 RV,5,59,19,1,Clinton +40
FOX News,6/23/2015,375 RV,4.5,61,15,1,Clinton +46
FOX News,6/2/2015,395 RV,--,57,11,4,Clinton +46
FOX News,5/12/2015,370 LV,--,63,6,0,Clinton +50
FOX News,4/21/2015,388 LV,5,62,4,1,Clinton +50
FOX News,3/31/2015,397 LV,5,61,3,2,Clinton +49
FOX News,1/27/2015,390 RV,5,55,3,2,Clinton +38
FOX News,12/9/2014,409 RV,5,62,3,1,Clinton +50
FOX News,7/22/2014,438 RV,4.5,64,--,1,Clinton +52
FOX News,4/15/2014,395 RV,5,69,--,1,Clinton +55
ABC/Wash Post,11/16 - 11/19,352 RV,6,60,34,3,Clinton +26
ABC News/Wash Post,10/18/2015,444 RV,5.5,54,23,1,Clinton +31
ABC News/Wash Post,9/10/2015,RV,4,42,24,2,Clinton +18
ABC News/Wash Post,7/19/2015,RV,--,63,14,1,Clinton +49
ABC News/Wash Post,5/31/2015,376 RV,6,62,10,3,Clinton +48
ABC News/Wash Post,3/29/2015,RV,6,66,5,0,Clinton +54
ABC News/Wash Post,12/14/2014,346 RV,6,61,4,0,Clinton +47
ABC News/Wash Post,10/12/2014,RV,--,64,1,1,Clinton +51
ABC News/Wash Post,6/1/2014,RV,6,69,2,2,Clinton +57
ABC News/Wash Post,1/23/2014,RV,5,73,--,--,Clinton +62
