Poll,Date,Sample,MoE,Clinton,Sanders,O'Malley,Spread
CBS News/NYT,11/10/2015,418 RV,6,52,33,5,Clinton +19
FOX News,11/3/2015,505 RV,4,56,31,2,Clinton +25
Quinnipiac,11/2/2015,502 RV,4.4,53,35,0,Clinton +18
NBC/WSJ,10/29/2015,400 LV,4.9,62,31,3,Clinton +31
IBD/TIPP,10/29/2015,356 RV,5.3,48,33,2,Clinton +15
NBC/WSJ,10/18/2015,400 RV,4.9,49,29,1,Clinton +20
CNN/ORC,10/17/2015,291 RV,5,45,29,0,Clinton +16
FOX News,10/12/2015,353 RV,5,45,25,1,Clinton +20
CBS News,10/8/2015,343 RV,6,46,27,0,Clinton +19
PPP (D),10/4/2015,551 RV,4.2,42,24,1,Clinton +18
IBD/TIPP,10/1/2015,348 RV,--,42,18,1,Clinton +20
USA Today/Suffolk,9/28/2015,430 LV,4.7,41,23,0,Clinton +18
Pew Research*,9/27/2015,387 RV,--,45,24,0,Clinton +21
NBC/WSJ,9/24/2015,256 RV,6.5,42,35,0,Clinton +7
FOX News,9/22/2015,381 LV,5,44,30,2,Clinton +14
Bloomberg,9/21/2015,375 RV,5.1,33,24,1,Clinton +8
Quinnipiac,9/21/2015,587 RV,4,43,25,0,Clinton +18
CNN/ORC,9/19/2015,392 RV,5,42,24,1,Clinton +18
CBS News/NYT,9/13/2015,351 RV,6,47,27,0,Clinton +20
CNN/ORC,9/8/2015,395 RV,5,37,27,3,Clinton +10
Monmouth,9/2/2015,339 RV,5.3,42,20,1,Clinton +20
PPP (D),8/30/2015,545 LV,4.2,55,20,4,Clinton +35
Quinnipiac,8/25/2015,647 RV,3.9,45,22,1,Clinton +23
Rasmussen Reports,8/24/2015,536 LV,4,50,24,2,Clinton +26
CNN/ORC,8/16/2015,358 RV,5,47,29,2,Clinton +18
FOX News,8/13/2015,401 LV,4.5,49,30,1,Clinton +19
FOX News,8/2/2015,499 LV,4,51,22,1,Clinton +29
NBC/WSJ,7/30/2015,253 RV,6.2,59,25,3,Clinton +34
Quinnipiac,7/28/2015,681 RV,3.8,55,17,1,Clinton +38
CNN/ORC,7/25/2015,392 RV,5,56,19,0,Clinton +37
PPP (D),7/21/2015,496 RV,4.4,57,22,2,Clinton +35
FOX News,7/15/2015,382 RV,5,59,19,1,Clinton +40
USA Today/Suffolk,7/12/2015,434 LV,3,59,14,0,Clinton +45
CNN/ORC,6/28/2015,428 RV,4.5,58,15,1,Clinton +41
FOX News,6/23/2015,375 RV,4.5,61,15,1,Clinton +46
NBC/WSJ,6/18/2015,247 RV,6.2,75,15,2,Clinton +60
PPP (D),6/14/2015,471 RV,4.5,65,9,5,Clinton +56
FOX News,6/2/2015,395 RV,--,57,11,4,Clinton +46
CNN/ORC,5/31/2015,433 A,4.5,60,10,1,Clinton +46
Quinnipiac,5/26/2015,748 RV,3.6,57,15,1,Clinton +42
FOX News,5/12/2015,370 LV,--,63,6,0,Clinton +50
PPP (D),5/10/2015,600 RV,4,63,13,2,Clinton +50
Quinnipiac,4/21/2015,569 RV,4.1,60,8,3,Clinton +50
CNN/ORC,4/19/2015,458 A,4.5,69,5,1,Clinton +58
PPP (D),3/31/2015,449 RV,4.6,54,6,3,Clinton +40
CNN/ORC,3/15/2015,466 A,4.5,62,3,1,Clinton +47
McClatchy/Marist,3/4/2015,462 RV,4.6,60,5,1,Clinton +47
Quinnipiac,3/2/2015,493 RV,4.4,56,4,0,Clinton +42
PPP (D),2/22/2015,310 RV,5.6,54,5,1,Clinton +38
FOX News,1/27/2015,390 RV,5,55,3,2,Clinton +38
PPP (D),1/25/2015,386 RV,5,60,2,1,Clinton +45
Rasmussen Reports,1/19/2015,648 LV,4,59,4,2,Clinton +47
