;White Alone;White Alone, not Hispanic;Black Alone or in Combination;Black Alone;Asian Alone or in Combination;Asian Alone;Hispanic (of any race)
2013;66.1;41.5;26.4;24.4;4.4;3.9;28.1,
2012;66.3;40.7;25.4;23.5;4.5;4.1;29.3,
2011;66.7;41.5;25.4;23.6;4.7;4.3;28.6,
2010;67.1;41.5;25;23.2;4.5;4.1;29.2,
2009;68.5;42.5;24.3;22.8;4.4;4;28.3,
2008;67.8;42.7;24.8;23.5;4.2;4;27.6,
2007;67.4;43;25.9;24.8;3.9;3.6;26.5,
2006;67;43.9;25.9;24.8;4;3.7;25.4,
2005;67.3;43.9;25.8;24.8;4.1;3.8;25.4,
2004;68.4;45.6;25.4;24.3;3.5;3.2;24.6,
2003;67.7;44.3;25.4;24.5;4.3;3.9;25.2,
2002;67.9;45;25.7;24.9;3.6;3.4;24.7,
